H1,H2,H3,H4,H5,H6,H7,H8,S1,S2,S3,S4,S5,S6,S7,S8,V1,V2,V3,V4,V5,V6,V7,V8,LabelName
0,0,8564,4291,7,0,0,0,843,7836,384,392,553,649,957,1248,325,1841,963,277,277,203,110,8866,Relogio
0,0,6993,6427,0,0,0,0,8021,1238,586,1430,1008,438,318,381,0,301,2714,243,195,373,135,9459,S_Planner
2490,1619,2693,4643,379,711,0,0,389,2219,564,2367,1240,914,879,3963,439,3325,488,131,116,464,2262,5310,Chrome
0,0,1736,10799,0,0,0,0,1248,494,188,76,37,81,901,9510,547,1769,444,434,225,225,419,8472,Definicoes
0,0,3158,10408,0,0,0,0,489,233,167,50,119,332,1391,10785,0,1180,989,939,230,105,385,9738,Musica
324,0,4404,6076,718,2044,0,0,6334,1403,825,2065,1181,524,686,548,0,1297,1986,373,71,348,1309,8182,Email
0,0,5539,9821,12,0,0,0,9504,718,359,2163,952,825,498,353,5,845,3411,372,99,253,345,10042,Radio
903,371,8476,5272,44,63,0,0,1679,1294,1438,1099,934,527,1141,7017,850,2123,493,168,87,115,1022,10271,S_Health
0,0,10537,5588,0,0,0,0,3533,4991,478,236,334,1277,1055,4221,251,2345,930,222,109,128,722,11418,Gestor_Inteligente
0,0,10003,2992,0,0,0,0,289,342,294,205,475,1331,1194,8865,472,3230,533,58,58,300,4063,4281,Telefone
8841,19,594,3555,366,540,0,0,1710,464,1690,5872,2242,924,386,627,2199,1950,280,94,55,127,586,8624,Contactos
171,5480,2081,6892,1,0,0,0,1108,4667,368,584,716,910,1306,4966,1042,2449,454,400,153,122,425,9580,Galeria
