H1,H2,H3,H4,S1,S2,S3,S4,V1,V2,V3,V4,LabelName
1285,13472,127,0,2978,2642,1485,7779,2552,747,207,11378,S_Health
0,12753,0,0,1742,269,121,10621,2490,902,464,8897,Definicoes
0,15867,8,0,10210,2807,2167,691,1193,3942,349,10391,Radio
297,11050,2789,0,7723,3022,1950,1441,1738,2485,432,9481,Email
1369,15340,315,0,11099,920,2623,2382,4233,1137,205,11449,Ferramentas
0,14025,5,0,8680,695,1891,2764,3531,1045,471,8983,Relogio
0,14278,0,0,9250,2356,1945,727,556,3555,565,9602,S_Planner
2004,5745,6876,0,3046,3670,6794,1115,4708,761,188,8968,Galaxy_Store
0,16359,0,0,8625,718,1882,5134,2864,1013,246,12236,Gestor_Inteligente
0,11118,0,0,1779,1619,5946,1774,733,1443,365,8577,Internet
0,14881,479,0,5152,2468,3709,4031,3195,2468,378,9319,Camara
0,3394,11356,0,1142,4510,5995,3103,2544,1015,450,10741,Video
0,11660,0,0,184,652,666,10158,1985,760,306,8609,Calculadora
0,12876,0,0,537,554,161,11624,2085,1041,342,9408,S_Voice
1960,5055,6909,0,3044,3815,6000,1065,3960,798,190,8976,Galaxy_Store
1357,16301,289,0,11232,712,3277,2726,5256,1037,198,11456,Ferramentas
0,12855,7,0,8679,776,1202,2205,2166,1240,480,8976,Relogio
0,13420,0,0,9259,2016,1446,699,301,2957,568,9594,S_Planner
4109,7336,1090,0,2608,2931,2154,4842,3764,619,580,7572,Chrome
0,12535,0,0,1742,264,118,10411,2316,878,450,8891,Definicoes
0,13566,0,0,722,217,451,12176,1180,1928,335,10123,Musica
324,10480,2762,0,7737,2890,1705,1234,1297,2359,419,9491,Email
0,15360,12,0,10222,2522,1777,851,850,3783,352,10387,Radio
1274,13748,107,0,2973,2537,1461,8158,2973,661,202,11293,S_Health
0,16125,0,0,8524,714,1611,5276,2596,1152,237,12140,Gestor_Inteligente
0,12995,0,0,631,499,1806,10059,3702,591,358,8344,Telefone
8860,4149,906,0,2174,7562,3166,1013,4149,374,182,9210,Contactos
5651,8973,1,0,5775,952,1626,6272,3491,854,275,10005,Galeria
9841,5276,381,0,8188,5548,1379,383,4017,392,139,10950,Mensagem
0,15857,19,0,10405,737,3224,1510,2340,2627,321,10588,Radio
0,12987,0,0,1820,255,484,10428,2186,1201,479,9121,Definicoes
1275,13317,170,0,2569,2363,1333,8497,2641,664,189,11268,S_Health
0,4196,11304,0,1151,4525,6003,3821,3249,1036,472,10743,Video
6,12094,0,0,224,508,567,10801,2635,323,324,8818,Calculadora
0,13200,0,0,637,618,266,11679,1707,1337,402,9754,S_Voice
4186,9653,1029,0,2883,2987,4314,4684,5095,1407,630,7736,Chrome
0,15488,0,0,9480,1952,2936,1120,2082,2946,590,9870,S_Planner
1966,5117,7077,0,3120,4544,5363,1133,4054,741,216,9149,Galaxy_Store
0,14868,0,0,8849,661,1045,4313,1195,1320,214,12139,Gestor_Inteligente
1327,15059,255,0,11392,642,2296,2311,3549,1299,183,11610,Ferramentas
0,14351,0,0,8958,2053,1248,2092,2173,2452,451,9275,Relogio
0,14640,0,0,745,209,1646,12040,1640,2424,361,10215,Musica
1,14901,473,0,5316,2298,3413,4348,3682,1814,420,9459,Camara
0,11021,0,0,1854,1804,5089,2274,1144,1132,316,8429,Internet
9547,5524,429,0,8237,6070,718,475,3896,543,150,10911,Mensagem
5623,8516,6,0,5850,985,1488,5822,2821,994,272,10058,Galeria
9014,3412,914,0,2202,7938,2171,1029,3477,374,166,9323,Contactos
0,14478,0,0,654,574,2356,10894,4735,924,314,8505,Telefone
347,11009,2796,0,7968,3374,1358,1452,1323,2700,363,9766,Email
373,10405,2788,0,8024,3155,1275,1112,1302,2060,367,9837,Email
0,12760,0,0,1826,257,375,10302,1917,1182,474,9187,Definicoes
1269,13334,157,0,2525,2468,1325,8442,2593,669,190,11308,S_Health
0,15195,51,0,10465,791,3163,827,1651,2607,350,10638,Radio
1309,14096,325,0,11519,746,1944,1521,2459,1404,218,11649,Ferramentas
0,12626,0,0,1878,2275,5617,2856,1664,1835,332,8795,Internet
0,14300,484,0,5407,2376,3241,3760,2765,2112,429,9478,Camara
0,13455,0,0,768,192,290,12205,1408,1491,308,10248,Musica
4156,7272,1107,0,2827,2785,2949,3974,3010,1191,604,7730,Chrome
0,12636,0,0,1308,653,243,10432,1497,840,323,9976,S_Voice
19,12631,0,0,201,549,751,11149,3107,374,266,8903,Calculadora
0,2943,11214,0,1152,4842,5269,2894,1986,932,479,10760,Video
0,14148,9,0,8981,2302,1356,1518,1452,2936,445,9324,Relogio
9642,6032,455,0,8971,5297,1318,543,4697,380,120,10932,Mensagem
5576,8222,2,0,5843,739,1553,5665,2669,755,323,10053,Galeria
8937,3661,944,0,2184,8264,2247,847,3610,439,125,9368,Contactos
0,11660,0,0,663,215,589,10193,2616,197,317,8530,Telefone
0,15128,0,0,8360,715,1217,4836,1409,1412,206,12101,Gestor_Inteligente
1970,5406,7144,0,3125,4132,6068,1195,4311,781,212,9216,Galaxy_Store
0,14605,0,0,9574,1469,2355,1207,1648,2450,615,9892,S_Planner
0,12432,0,0,747,195,565,10925,560,1558,301,10013,Musica
0,12626,0,0,642,754,881,10349,2787,1161,363,8315,Telefone
8812,3648,868,0,2226,7469,2498,1135,3468,492,159,9209,Contactos
5642,7348,5,0,5699,485,585,6226,1939,762,292,10002,Galeria
9578,4695,367,0,6852,5625,1225,938,3260,300,139,10941,Mensagem
0,12099,0,0,1811,1835,6525,1928,710,2462,352,8575,Internet
0,14490,496,0,5261,2370,3165,4190,2792,2512,394,9288,Camara
0,14256,12,0,9224,2365,1785,894,788,3316,600,9564,S_Planner
0,16380,0,0,8645,743,1420,5572,2655,1206,225,12294,Gestor_Inteligente
1905,6154,7045,0,3047,3483,7446,1128,5217,716,232,8939,Galaxy_Store
0,14600,25,0,8725,929,2118,2853,3814,1375,480,8956,Relogio
1373,14946,313,0,11164,946,2740,1782,3732,1221,228,11451,Ferramentas
338,9919,2730,0,7708,2661,1599,1019,993,2082,417,9495,Email
0,14622,18,0,10235,1873,1715,817,895,3014,340,10391,Radio
0,12753,0,0,1755,264,154,10580,2510,903,483,8857,Definicoes
1287,13551,168,0,2961,2696,1450,7899,2247,902,280,11577,S_Health
0,4540,11327,0,1141,4325,6375,4026,3602,1070,451,10744,Video
0,11880,0,0,200,887,745,10048,1998,979,297,8606,Calculadora
0,12432,0,0,636,643,168,10985,1539,1249,288,9356,S_Voice
2590,7146,2252,0,4116,2964,1643,3265,1866,1784,540,7798,Chrome
0,11236,0,0,194,797,739,9506,1308,894,289,8745,Calculadora
0,11984,0,0,589,607,383,10405,1112,1015,329,9528,S_Voice
3979,8246,1227,0,2644,2686,3024,5098,4568,658,564,7662,Chrome
0,13676,9,0,8771,1534,956,2424,2185,1958,373,9169,Relogio
0,14123,2,0,9459,2082,1815,769,769,3001,567,9788,S_Planner
0,15488,0,0,9237,694,1074,4483,1295,1626,269,12298,Gestor_Inteligente
1894,5586,6998,0,3090,4184,6044,1160,4370,811,192,9105,Galaxy_Store
270,11369,2869,0,7880,2931,2091,1606,1780,2671,346,9711,Email
1311,15323,262,0,11263,626,2557,2450,4081,1081,188,11546,Ferramentas
0,15455,25,0,10336,1431,2094,1619,1678,2947,337,10518,Radio
0,12636,0,0,1793,267,321,10255,2042,1092,470,9032,Definicoes
1265,14314,171,0,2635,2348,1454,9313,3616,715,173,11246,S_Health
0,13456,0,0,737,207,922,11590,662,2279,330,10185,Musica
0,13318,482,0,5297,2154,2801,3548,2413,1591,399,9397,Camara
0,11766,0,0,1817,1579,6174,2196,1184,1508,401,8673,Internet
9474,5890,503,0,8446,5881,956,584,4034,786,126,10921,Mensagem
5582,7632,7,0,5805,893,1001,5522,2211,706,271,10033,Galeria
8943,4231,856,0,2166,7815,2917,1132,4156,421,142,9311,Contactos
0,13566,0,0,642,520,1600,10804,4002,779,365,8420,Telefone
0,3143,11256,0,1147,4701,5373,3178,2170,1035,439,10755,Video
175,11173,2930,0,7762,2689,1314,2513,2162,2212,328,9576,Email
0,17536,0,0,9201,928,2257,5150,2939,2218,283,12096,Gestor_Inteligente
1854,5388,6894,0,3083,5938,4153,962,3604,1367,198,8967,Galaxy_Store
4045,8467,1152,0,2738,3002,2492,5432,4628,870,545,7621,Chrome
0,12100,0,0,625,619,529,10327,1089,1387,375,9249,S_Voice
0,11340,0,0,217,946,989,9188,875,1550,267,8648,Calculadora
0,2903,11258,0,1163,5363,4571,3064,1987,1003,471,10700,Video
22,12634,0,0,648,364,786,10858,3449,499,311,8397,Telefone
9045,3607,803,0,2264,8230,1857,1104,3643,405,142,9265,Contactos
5526,8978,4,0,5730,953,1225,6600,3367,824,264,10053,Galeria
9608,5207,310,0,8892,4399,1353,481,3506,529,149,10941,Mensagem
0,12540,0,0,1843,2042,6109,2546,1331,2200,434,8575,Internet
0,12339,429,0,5405,2107,2129,3127,1374,1684,383,9327,Camara
0,13566,0,0,738,216,679,11933,1272,1864,322,10108,Musica
1269,13252,235,0,3277,2543,935,8001,2088,1080,201,11387,S_Health
0,12198,0,0,1788,246,246,9918,1884,959,469,8886,Definicoes
0,14500,8,0,10220,1399,854,2035,1352,2440,329,10387,Radio
0,14982,18,0,9378,3482,1613,527,314,4517,552,9617,S_Planner
0,13206,3,0,8659,643,1303,2604,2587,1249,352,9021,Relogio
1352,15078,338,0,11365,734,1875,2794,3997,1150,202,11419,Ferramentas
0,11845,0,0,1807,1755,6219,2064,1295,1674,350,8526,Internet
0,13214,475,0,5237,2695,1954,3803,2089,1970,392,9238,Camara
0,13570,0,0,747,201,711,11911,1349,1832,297,10092,Musica
4018,7502,1134,0,2754,2502,2098,5300,4013,517,544,7580,Chrome
0,12198,0,0,528,710,585,10375,786,1717,361,9334,S_Voice
0,11880,0,0,207,867,1091,9715,1684,1343,277,8576,Calculadora
0,2872,11264,0,1151,5653,4552,2780,2040,962,454,10680,Video
0,14369,31,0,9263,3179,1076,882,545,3779,551,9525,S_Planner
0,13416,36,0,8586,538,1347,2981,3302,897,337,8916,Relogio
1193,13671,140,0,3167,2095,1148,8594,2538,1074,215,11177,S_Health
1395,15088,287,0,11230,591,2517,2432,3845,1376,199,11350,Ferramentas
1876,5323,6837,0,3181,6074,3981,800,3371,1564,217,8884,Galaxy_Store
131,10390,2926,0,7678,2449,833,2487,1432,2197,333,9485,Email
0,12099,0,0,1768,250,127,9954,1879,957,463,8800,Definicoes
0,16104,0,0,8302,712,2115,4975,1820,2230,239,11815,Gestor_Inteligente
43,13409,0,0,635,365,1015,11437,4347,428,341,8336,Telefone
0,14470,30,0,10132,1554,1348,1466,310,3562,321,10307,Radio
8859,4027,918,0,2354,7855,2530,1065,3758,655,162,9229,Contactos
5502,9254,0,0,5756,962,1253,6785,3580,851,303,10022,Galeria
9484,5937,188,0,8397,4862,1773,577,4004,503,147,10955,Mensagem
9606,5509,257,0,8477,4978,1324,593,3404,903,156,10909,Mensagem
